tconst,averageRating,numVotes
tt0099080,5.8,1930
tt0100095,7.3,13585
tt0101732,4.9,1912
tt0102645,5.5,1342
tt0102746,4.2,699
tt0102825,7.2,7836
tt0102835,5.2,1578
tt0105007,4.4,668
tt0105500,4.4,1311
tt0106333,7.6,31055
tt0106541,4.0,941
tt0106725,4.9,962
tt0107249,4.6,1227
tt0107321,5.3,3249
tt0109117,8.0,56702
tt0109134,6.6,7574
tt0109391,3.9,825
tt0109555,7.6,26301
tt0110076,7.5,23479
tt0110222,7.6,19947
tt0111067,4.2,738
tt0112870,8.0,80124
tt0113526,6.8,16864
tt0114031,4.0,2026
tt0114231,5.4,4611
tt0114726,4.8,3120
tt0115019,5.1,1434
tt0115042,4.7,2268
tt0115568,4.4,2005
tt0116153,3.3,788
tt0116690,5.9,2807
tt0116763,7.4,4848
tt0118660,4.6,1244
tt0118983,7.0,25451
tt0119428,6.2,7372
tt0119861,6.9,16666
tt0120540,6.7,14731
tt0126234,6.5,7443
tt0126871,6.7,7788
tt0136153,4.6,2789
tt0136352,6.2,10336
tt0137100,5.4,2466
tt0150992,7.4,20471
tt0151150,6.1,11434
tt0164538,7.5,32439
tt0164550,5.6,8935
tt0168516,5.6,1055
tt0172234,5.5,3407
tt0172519,4.1,2648
tt0172684,7.5,59566
tt0173080,6.6,6331
tt0173102,6.7,8612
tt0182251,5.9,3216
tt0207341,5.7,6666
tt0211934,6.9,21181
tt0213890,7.0,35156
tt0216817,6.3,10408
tt0221982,4.6,823
tt0222012,8.0,14593
tt0222024,5.4,8068
tt0222270,6.2,9059
tt0226847,4.8,2088
tt0227194,5.5,5944
tt0233856,4.7,4944
tt0238936,7.5,48905
tt0244794,6.2,1834
tt0245825,4.7,3771
tt0247992,5.1,4023
tt0248126,7.4,59610
tt0249371,6.4,15788
tt0250415,5.1,5093
tt0256692,5.5,5597
tt0268401,4.4,2677
tt0273452,4.8,2333
tt0291883,5.8,1391
tt0296535,6.1,918
tt0310254,5.7,3536
tt0313844,6.9,1425
tt0328671,4.8,2986
tt0329354,4.8,2140
tt0330843,6.8,8066
tt0331639,6.1,5543
tt0337578,7.4,18210
tt0345594,2.4,250
tt0346723,6.5,17243
tt0347304,7.9,78439
tt0347473,7.1,42302
tt0357208,2.6,149
tt0367110,8.2,101649
tt0374271,7.2,21645
tt0385351,3.1,1995
tt0388197,6.4,896
tt0392360,6.0,1756
tt0395802,5.8,1894
tt0396563,4.4,2127
tt0415003,5.6,5242
tt0415908,4.7,6277
tt0418362,6.7,17926
tt0419468,5.4,3736
tt0420332,7.8,59810
tt0422950,6.1,2484
tt0430589,4.0,1540
tt0449306,4.7,3989
tt0449999,6.1,22839
tt0451787,5.5,5025
tt0451803,5.6,6177
tt0451833,6.6,13505
tt0451850,6.4,14773
tt0456481,6.1,9517
tt0461936,7.2,42411
tt0470521,2.7,1492
tt0476550,3.7,5222
tt0485272,5.2,5960
tt0486615,5.4,5091
tt0758053,5.2,8634
tt0772737,5.0,670
tt0806088,6.1,16717
tt0807758,5.8,14336
tt0857381,4.4,1244
tt0871510,8.1,87246
tt0991346,6.4,12256
tt10230422,5.8,6110
tt1024943,6.8,52513
tt1084972,6.6,27139
tt1087856,3.3,2347
tt10888594,1.8,180656
tt1105747,4.1,4828
tt1114725,5.7,2422
tt1174041,3.4,3472
tt1182884,4.3,2889
tt1182937,7.2,56118
tt1185412,4.6,9072
tt1188982,5.0,21451
tt1188996,7.9,119700
tt12844910,5.8,160803
tt1285241,7.1,59904
tt13130308,5.1,7914
tt13491110,6.1,42590
tt13766102,7.1,17
tt1475415,7.0,683
tt15354916,6.9,104732
tt1562871,4.9,48934
tt1620719,6.3,35530
tt1708532,4.9,20642
tt1729637,4.8,28991
tt1773042,4.5,1071
tt18411490,5.7,55164
tt1841542,7.5,9046
tt1986040,3.8,856
tt2016894,5.7,40334
tt2112124,6.2,67529
tt2112131,4.8,20605
tt2176013,6.7,60649
tt2354223,6.3,181
tt2372222,6.0,74293
tt2461132,5.0,42827
tt27139868,6.8,4994
tt27757805,5.2,17076
tt2831404,6.0,3914
tt31712434,4.2,48875
tt3405236,6.6,52226
tt3495026,6.8,50694
tt3595298,4.4,24470
tt3679040,4.0,41582
tt3850798,6.2,1182
tt3863552,8.1,104663
tt4467202,3.6,2978
tt4535650,5.1,40435
tt4832640,7.1,55175
tt5032564,7.9,52
tt5882970,4.0,22483
tt5946128,7.4,45246
tt5956100,5.9,35330
tt5997666,5.1,23579
tt6277462,5.6,113966
tt6405220,4.2,204
tt6417788,4.5,20
tt6527426,5.2,31215
tt6649234,6.5,1393
tt6941654,5.3,288
tt7059844,3.0,20965
tt7275232,1.5,1017
tt7431594,1.9,49566
tt7621064,6.5,37
tt7624840,3.8,2434
tt7721800,4.7,33204
tt7820846,3.4,2612
tt9105014,7.0,3523
